,observers,resids,max_resid,mean_resid,a,w
45,False,"tensor([[4.8259e-05, 1.9777e-04],
        [4.4644e-05, 2.2209e-04],
        [4.0897e-05, 2.4732e-04],
        ...,
        [4.4350e-02, 2.1238e-02],
        [4.5294e-02, 2.0918e-02],
        [4.6239e-02, 2.0595e-02]])",0.10795512050390244,0.02403024025261402,0.15000000596046448,1.0
46,False,"tensor([[1.8710e-07, 3.0278e-05],
        [2.1305e-07, 3.2835e-05],
        [2.4298e-07, 3.5425e-05],
        ...,
        [1.7996e-01, 3.4894e-01],
        [1.8800e-01, 3.4420e-01],
        [1.9616e-01, 3.3929e-01]])",0.40928250551223755,0.08172319084405899,0.15000000596046448,1.0499999523162842
47,False,"tensor([[8.9655e-08, 4.2560e-05],
        [1.0192e-07, 4.3919e-05],
        [1.1676e-07, 4.5235e-05],
        ...,
        [2.0044e-03, 1.1844e-01],
        [1.5479e-03, 1.1833e-01],
        [1.1504e-03, 1.1820e-01]])",0.336550235748291,0.04530499130487442,0.15000000596046448,1.100000023841858
48,False,"tensor([[2.2364e-07, 4.5351e-05],
        [4.6301e-07, 4.7030e-05],
        [7.9659e-07, 4.8637e-05],
        ...,
        [6.0701e-01, 1.4772e-01],
        [5.9773e-01, 1.5684e-01],
        [5.8824e-01, 1.6610e-01]])",0.7456079721450806,0.08296182006597519,0.15000000596046448,1.149999976158142
49,False,"tensor([[2.4416e-09, 8.2621e-05],
        [7.0032e-09, 8.4602e-05],
        [4.7150e-08, 8.6441e-05],
        ...,
        [1.4409e-05, 2.7639e-01],
        [1.4234e-04, 2.7659e-01],
        [4.0273e-04, 2.7669e-01]])",0.2766910791397095,0.026569880545139313,0.15000000596046448,1.2000000476837158
50,False,"tensor([[4.1873e-06, 3.9497e-06],
        [4.5421e-06, 3.5622e-06],
        [4.8897e-06, 3.1849e-06],
        ...,
        [1.9373e-01, 2.3295e-01],
        [2.0047e-01, 2.2724e-01],
        [2.0724e-01, 2.2146e-01]])",0.3574090301990509,0.06039858236908913,0.15000000596046448,1.25
51,False,"tensor([[1.5922e-08, 1.6537e-06],
        [1.1833e-08, 2.2240e-06],
        [8.9590e-09, 2.8843e-06],
        ...,
        [6.5530e-02, 5.7733e-02],
        [6.7472e-02, 5.5583e-02],
        [6.9405e-02, 5.3426e-02]])",0.10792498290538788,0.011829651892185211,0.15000000596046448,1.2999999523162842
52,False,"tensor([[6.3193e-08, 9.0646e-05],
        [1.2678e-07, 9.8156e-05],
        [2.2023e-07, 1.0599e-04],
        ...,
        [2.2445e-01, 2.3337e-03],
        [2.2517e-01, 1.6693e-03],
        [2.2578e-01, 1.1134e-03]])",0.2583567202091217,0.04568915441632271,0.15000000596046448,1.350000023841858
53,False,"tensor([[1.7254e-07, 3.9600e-04],
        [1.4536e-08, 4.2471e-04],
        [3.4021e-08, 4.5421e-04],
        ...,
        [2.0958e-02, 1.3172e-02],
        [2.1490e-02, 1.2706e-02],
        [2.2019e-02, 1.2232e-02]])",0.08387850970029831,0.012357857078313828,0.15000000596046448,1.399999976158142
54,False,"tensor([[2.3888e-07, 2.6432e-04],
        [4.6736e-08, 2.7824e-04],
        [4.2637e-09, 2.9210e-04],
        ...,
        [4.4482e-03, 1.7103e-02],
        [4.7298e-03, 1.6880e-02],
        [5.0179e-03, 1.6639e-02]])",0.05368535965681076,0.00960610806941986,0.15000000596046448,1.4500000476837158
